(1, ('346', '370'), 0.353)	9183.87403576801	23.116613388061523
(1, ('433', '468'), 0.675)	9033.99997875911	23.252198696136475
(1, ('807', '866'), 0.568)	8341.05166051473	23.483473300933838
(1, ('3369', '3419'), 0.384)	5732.20702397674	23.420732736587524
(1, ('4116', '4168'), 0.773)	5386.01584204179	23.31730556488037
(1, ('4474', '4511'), 0.683)	5279.05544361695	23.37916398048401
(1, ('4564', '4586'), 0.438)	5947.25103366991	23.34803342819214
(1, ('6019', '6065'), 0.328)	5312.42899224059	24.72658348083496
(2, ('346', '370'), 0.353)	113658611.023334	41.111716747283936
(2, ('433', '468'), 0.675)	110536158.917608	41.02065873146057
(2, ('807', '866'), 0.568)	97501395.8906432	40.509026288986206
(2, ('3369', '3419'), 0.384)	46709993.1222074	40.22167944908142
(2, ('4116', '4168'), 0.773)	39937980.1227624	40.68662977218628
(2, ('4474', '4511'), 0.683)	37711334.4345962	39.8065550327301
(2, ('4564', '4586'), 0.438)	43637573.3988041	39.734454870224
(2, ('6019', '6065'), 0.328)	36377132.3236559	39.90409207344055
